current_distance,lane_distance,max_speed_difference_kmh,pair,possible_tailgating,same_lane
0.2789383755300209,7.998947399344277,0.5020890759540376,Car1-Car2,No,No
,0.3500505010211192,,Car5-Car6,Yes,Yes
,3.411365756422143,,Car3-Car4,No,No
,3.0955982235538912,,Car4-Car5,No,No
,9.87589313977419,,Car5-Car6,No,No
,30.9326013973989,,Car1-Car2,No,No
,4.464869530779774,,Car1-Car2,No,No
,12.246347255783427,,Car2-Car3,No,No
,16.55317389059817,,Car3-Car4,No,No
,22.74889838760321,,Car1-Car2,No,No
,2.7073330831100506,,Car2-Car3,No,No
,21.218802690836842,,Car3-Car4,No,No
-5.339307460489349,5.235793631704718,-9.610753428880827,Car1-Car2,No,No
,0.21347877835628998,,Car4-Car5,Yes,Yes
-1.499829974752081,1.9693772327736554,-2.6996939545537457,Car1-Car2,No,No
,4.093670353089639,,Car4-Car5,No,No
,0.8847323276754221,,Car6-Car7,Yes,Yes
,5.369680465629201,,Car8-Car9,No,No
,6.959359901187812,,Car1-Car2,No,No
5.237000406353048,0.01631892088704524,9.426600731435487,Car1-Car2,Yes,Yes
7.479530413094369,0.041717050480670696,13.463154743569865,Car2-Car3,Yes,Yes
,1.1193264980507271,,Car5-Car6,No,No
,5.036922515775626,,Car8-Car9,No,No
,6.305537761659535,,Car10-Car11,No,No
,6.272663530635964,,Car11-Car12,No,No
,16.821797092892748,,Car1-Car2,No,No
,9.662603416573479,,Car2-Car3,No,No
5.192876551574122,0.09471764124102139,9.34717779283342,Car1-Car2,Yes,Yes
3.9298781892554633,0.09436996194694278,7.073780740659834,Car2-Car3,Yes,Yes
7.7549900743465265,0.3448168738754954,13.958982133823747,Car3-Car4,Yes,Yes
,1.0694245864602059,,Car4-Car5,No,No
,2.6633389012373994,,Car1-Car2,No,No
,5.600063764860438,,Car2-Car3,No,No
,18.543036095825922,,Car3-Car4,No,No
,6.390977949289603,,Car1-Car2,No,No
,8.649130040356686,,Car2-Car3,No,No
,9.700151208142788,,Car3-Car4,No,No
,1.83782524383149,,Car4-Car5,No,No
,1.571785732825609,,Car5-Car6,No,No
5.021290263599328,0.09827516101838042,9.03832247447879,Car1-Car2,Yes,Yes
15.919730763661567,0.299014994889956,28.655515374590824,Car2-Car3,Yes,Yes
,1.3200407593844217,,Car1-Car2,No,No
8.995782407546905,0.9747367746574972,16.192408333584428,Car1-Car2,Yes,Yes
,2.6005529332280455,,Car1-Car2,No,No
,5.411201952194163,,Car2-Car3,No,No
,18.429953761276217,,Car3-Car4,No,No
,10.441402857922041,,Car1-Car2,No,No
,7.688567353474502,,Car2-Car3,No,No
,5.285906849584371,,Car3-Car4,No,No
,4.595918040025852,,Car4-Car5,No,No
,7.802666587610934,,Car5-Car6,No,No
,17.625366057878708,,Car1-Car2,No,No
,15.842583401238661,,Car2-Car3,No,No
,3.5010221771253405,,Car3-Car4,No,No
,15.320803325569491,,Car4-Car5,No,No
,1.4791082012956496,,Car2-Car3,No,No
,12.27492070928897,,Car4-Car5,No,No
,5.676545580856151,,Car2-Car3,No,No
,2.962232055015242,,Car3-Car4,No,No
,18.19329859768413,,Car4-Car5,No,No
,1.36026574729439,,Car1-Car2,No,No
,3.3503126280665536,,Car3-Car4,No,No
,7.191064043237647,,Car4-Car5,No,No
,13.686184008256038,,Car7-Car8,No,No
,2.1179253183867512,,Car2-Car3,No,No
5.1293472847734085,0.054832506068003994,9.232825112592135,Car1-Car2,Yes,Yes
,15.410581552514092,,Car1-Car2,No,No
,8.828970528527305,,Car1-Car2,No,No
,2.03863705712884,,Car1-Car2,No,No
35.24062778672034,5.462705571431654,63.43313001609661,Car1-Car2,No,No
,4.071576038060372,,Car2-Car3,No,No
,0.3675195534520056,,Car3-Car4,Yes,Yes
